target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	856	0	0
YDL245C_mRNA	1704	1654	0	0
YBR232C_mRNA	360	310	0	0
YDR320W-B_mRNA	138	88	0	0
YBR021W_mRNA	1902	1852	0	0
YGR014W_mRNA	3921	3871	1	20.581
YKL119C_mRNA	648	598	2	266.452
YPR031W_mRNA	2247	2197	1	36.2627
YKL066W_mRNA	444	394	0	0
YJL076W_mRNA	3570	3520	1	22.6333
YPL174C_mRNA	2607	2557	1	31.1573
YIL003W_mRNA	882	832	0	0
YML066C_mRNA	1110	1060	0	0
YMR129W_mRNA	4014	3964	1	20.0982
YBR140C_mRNA	9279	9229	0	0
YGR242W_mRNA	309	259	0	0
YKR047W_mRNA	306	256	0	0
YKL029C_mRNA	2010	1960	3	121.942
YLR154C-G_mRNA	150	100	16	12747.1
YPL028W_mRNA	1197	1147	3	208.376
YDL235C_mRNA	504	454	2	350.965
YER091C_mRNA	2304	2254	3	106.037
YMR121C_mRNA	615	565	1.16129	163.75
YDR356W_mRNA	2835	2785	1	28.6065
YDR337W_mRNA	861	811	1	98.2356
YKL008C_mRNA	1257	1207	1	66.0059
YER055C_mRNA	894	844	5	471.973
YFR004W_mRNA	921	871	3	274.406
YDR108W_mRNA	2097	2047	0	0
YDL200C_mRNA	567	517	1	154.099
YJR134C_mRNA	2124	2074	0	0
YMR135C_mRNA	1368	1318	0	0
YGR012W_mRNA	1182	1132	0	0
YNL244C_mRNA	327	277	0	0
YCR024C-A_mRNA	123	73	0	0
YOR027W_mRNA	1770	1720	6	277.915
YBL101C_mRNA	3354	3304	0	0
YLL040C_mRNA	9435	9385	2	16.978
YDR181C_mRNA	1446	1396	1	57.0696
YML116W-A_mRNA	303	253	0	0
YPR096C_mRNA	303	253	0	0
YJL210W_mRNA	816	766	0	0
YLR216C_mRNA	1116	1066	0	0
YGL118C_mRNA	438	388	0	0
YMR021C_mRNA	1254	1204	0	0
YNL079C_mRNA	600	550	10	1448.53
YBL058W_mRNA	1272	1222	3	195.587
YJR127C_mRNA	4143	4093	1	19.4647
YLR088W_mRNA	1845	1795	0	0
YKL128C_mRNA	888	838	0	0
YLR100W_mRNA	1044	994	0	0
YKL106C-A_mRNA	120	70	0	0
YBR080C_mRNA	2277	2227	1	35.7742
YOR292C_mRNA	930	880	0	0
YNL219C_mRNA	1668	1618	1	49.2392
YPR179C_mRNA	1968	1918	2	83.0752
YOL062C_mRNA	1476	1426	0	0
YDR540C_mRNA	540	490	0	0
YER087W_mRNA	1731	1681	0	0
YOL140W_mRNA	1272	1222	0	0
YFL009W_mRNA	2340	2290	0	0
YLL004W_mRNA	1851	1801	0	0
YKL057C_mRNA	3114	3064	0	0
YPL130W_mRNA	672	622	0	0
YDL046W_mRNA	522	472	0	0
YPL072W_mRNA	1500	1450	1	54.9442
YPR150W_mRNA	522	472	0	0
YER180C_mRNA	804	754	0	0
YGL157W_mRNA	1044	994	1	80.15
YDR252W_mRNA	450	400	0	0
YLR037C_mRNA	375	325	0	0
YMR307W_mRNA	1680	1630	7.6835	375.545
YIL116W_mRNA	1158	1108	0	0
YAL040C_mRNA	1743	1693	1	47.0579
YGL232W_mRNA	870	820	4	388.63
YHR181W_mRNA	687	637	0	0
YBR051W_mRNA	351	301	0	0
YPL259C_mRNA	1428	1378	0	0
YDR461C-A_mRNA	243	193	0	0
YJL087C_mRNA	2484	2434	0	0
YIR005W_mRNA	447	397	0	0
YDL080C_mRNA	1830	1780	0	0
YJL209W_mRNA	1965	1915	0	0
YLR286C_mRNA	1689	1639	4	194.433
YEL044W_mRNA	501	451	1	176.65
YOR371C_mRNA	2694	2644	0	0
YLR071C_mRNA	3249	3199	1	24.9044
YBL050W_mRNA	879	829	1	96.1027
YOR025W_mRNA	1344	1294	0	0
YHL001W_mRNA	417	367	1.33333	289.443
YJR042W_mRNA	2235	2185	1	36.4618
YNL185C_mRNA	477	427	1	186.579
YBR129C_mRNA	987	937	0	0
YKL145W_mRNA	1404	1354	3.0984	182.309
YIL015W_mRNA	1764	1714	0	0
YPL018W_mRNA	1110	1060	1	75.1595
YLR160C_mRNA	1089	1039	0.75	57.509
YIL047C_mRNA	2709	2659	1	29.9621
YBL039C-A_mRNA	84	34.0145	0	0
YOR061W_mRNA	1020	970	1	82.1331
YJR005C-A_mRNA	282	232	0	0
YLR352W_mRNA	2424	2374	0	0
YDR068W_mRNA	933	883	1	90.2255
YJL128C_mRNA	2007	1957	0	0
YPL228W_mRNA	1650	1600	0	0
YML036W_mRNA	546	496	0	0
YKL114C_mRNA	1104	1054	2	151.175
YDR078C_mRNA	672	622	0	0
YCR105W_mRNA	1086	1036	0	0
YJR083C_mRNA	930	880	0	0
YDR248C_mRNA	582	532	0	0
YPL199C_mRNA	723	673	1	118.379
YNL136W_mRNA	1278	1228	0	0
YLL045C_mRNA	771	721	5.58784	617.445
YOR316C-A_mRNA	210	160	0	0
YNL264C_mRNA	1053	1003	0	0
YLR320W_mRNA	4365	4315	0	0
YBR028C_mRNA	1578	1528	0	0
YKL098W_mRNA	1074	1024	0	0
YBR063C_mRNA	1215	1165	0	0
YJL052C-A_mRNA	120	70	0	0
YPR060C_mRNA	771	721	1	110.498
YLL013C_mRNA	2640	2590	1	30.7603
YKR067W_mRNA	2232	2182	1	36.512
YLR040C_mRNA	675	625	0	0
YMR093W_mRNA	1542	1492	1	53.3975
YIL058W_mRNA	285	235	0	0
YHR136C_mRNA	447	397	0	0
YBR078W_mRNA	1290	1240	5	321.246
YCL054W_mRNA	2526	2476	2	64.3531
YIL072W_mRNA	1818	1768	0	0
YOR231C-A_mRNA	201	151	0	0
YCR016W_mRNA	873	823	1	96.8033
YEL020C_mRNA	1683	1633	2	97.5739
YPL025C_mRNA	558	508	0	0
YDL136W_mRNA	363	313	8.14286	2072.63
YBR211C_mRNA	975	925	1	86.1288
YJL077W-A_mRNA	87	37.0051	0	0
YOR076C_mRNA	2244	2194	0	0
YDR104C_mRNA	3738	3688	0	0
YBR279W_mRNA	1338	1288	1	61.8549
YLR067C_mRNA	2898	2848	0	0
YHR219W_mRNA	1875	1825	0	0
YGR249W_mRNA	1371	1321	0	0
YLR456W_mRNA	615	565	1	141.007
YGR283C_mRNA	1026	976	0	0
YDL027C_mRNA	1263	1213	0	0
YKR023W_mRNA	1593	1543	1	51.6326
YGR028W_mRNA	1089	1039	0	0
YCL001W-A_mRNA	462	412	0	0
YDR052C_mRNA	2115	2065	0	0
YFR035C_mRNA	345	295	0	0
YJL102W_mRNA	2460	2410	1	33.0577
YNL336W_mRNA	1146	1096	0	0
YGL006W_mRNA	3522	3472	3	68.8385
YDR217C_mRNA	3930	3880	2	41.0665
YMR194C-A_mRNA	225	175	0	0
YKL033W_mRNA	3117	3067	0	0
YOR223W_mRNA	879	829	1	96.1027
YOR032W-A_mRNA	201	151	0	0
YBR260C_mRNA	2001	1951	0	0
YLR359W_mRNA	1449	1399	10	569.472
YHR062C_mRNA	882	832	0	0
YDR022C_mRNA	591	541	0	0
YDR459C_mRNA	1125	1075	0	0
YNL184C_mRNA	327	277	0	0
YDR293C_mRNA	3753	3703	0	0
YPL195W_mRNA	2799	2749	3	86.9434
YMR173W_mRNA	1293	1243	1	64.0942
YDR374W-A_mRNA	270	220	0	0
YAL007C_mRNA	648	598	2	266.452
YGL235W_mRNA	537	487	0	0
YGL134W_mRNA	1302	1252	0	0
YER001W_mRNA	2289	2239	1	35.5824
YDR366C_mRNA	399	349	6	1369.67
YHR023W_mRNA	5787	5737	1	13.8869
YDR430C_mRNA	2970	2920	0	0
YGR002C_mRNA	1431	1381	1	57.6894
YNL220W_mRNA	1302	1252	4	254.534
YBR109W-A_mRNA	225	175	0	0
YHR110W_mRNA	639	589	1	135.262
YKL136W_mRNA	399	349	0	0
YLL067C_mRNA	3618	3568	0	0
YPL078C_mRNA	735	685	0	0
YBR073W_mRNA	2877	2827	0	0
YPL119C_mRNA	1854	1804	0	0
YOR135C_mRNA	342	292	0	0
YPL212C_mRNA	1635	1585	1	50.2644
YGL179C_mRNA	1683	1633	0	0
YNL159C_mRNA	870	820	0	0
YFR048W_mRNA	1989	1939	0	0
YDR016C_mRNA	285	235	0	0
YKL215C_mRNA	3861	3811	1	20.905
YML035C_mRNA	2433	2383	0	0
YDL059C_mRNA	717	667	0	0
YOR257W_mRNA	486	436	0	0
YNL144C_mRNA	2223	2173	0	0
YIL172C_mRNA	1770	1720	0	0
YOR301W_mRNA	1308	1258	0	0
YHR157W_mRNA	549	499	0	0
YPR152C_mRNA	1398	1348	0	0
YDR442W_mRNA	393	343	0	0
YPL008W_mRNA	2586	2536	0	0
YMR086C-A_mRNA	339	289	0	0
YGL032C_mRNA	264	214	0	0
YEL077C_mRNA	3834	3784	0	0
YGR174W-A_mRNA	87	37.0051	0	0
YOR148C_mRNA	558	508	0	0
YHL048W_mRNA	1146	1096	0	0
YDR114C_mRNA	303	253	0	0
YDR194W-A_mRNA	153	103	0	0
YML062C_mRNA	1179	1129	2	141.132
YPR085C_mRNA	1332	1282	0	0
YBL095W_mRNA	813	763	0	0
YAR028W_mRNA	705	655	0	0
YGR054W_mRNA	1929	1879	1	42.3997
YOR096W_mRNA	573	523	13.6842	2084.53
YMR022W_mRNA	498	448	1	177.833
YCR027C_mRNA	630	580	1	137.361
YDL183C_mRNA	963	913	1	87.2608
YJL225W-A_mRNA	483	433	0	0
YNL278W_mRNA	3183	3133	1	25.429
YLR395C_mRNA	237	187	0	0
YDR446W_mRNA	909	859	0	0
YKL023W_mRNA	834	784	1	101.619
YPL106C_mRNA	2082	2032	10	392.072
YOR366W_mRNA	354	304	0	0
YIR021W_mRNA	1092	1042	0	0
YJL175W_mRNA	513	463	0	0
YLL022C_mRNA	1158	1108	0	0
YDR441C_mRNA	546	496	0	0
YPR002C-A_mRNA	198	148	1.28595	692.235
YOR299W_mRNA	2241	2191	0	0
YLR047C_mRNA	2061	2011	1	39.6167
YMR082C_mRNA	357	307	0	0
YEL023C_mRNA	2049	1999	0	0
YDR411C_mRNA	1026	976	1	81.6282
YKL025C_mRNA	2040	1990	0	0
YLR225C_mRNA	1224	1174	0	0
YPR029C_mRNA	2499	2449	3	97.5938
YDR088C_mRNA	1149	1099	0	0
YFL004W_mRNA	2487	2437	3	98.0744
YDR369C_mRNA	2565	2515	1	31.6776
YGL090W_mRNA	1266	1216	0	0
YLR297W_mRNA	390	340	0	0
YDR094W_mRNA	336	286	0	0
YNL027W_mRNA	2037	1987	1	40.0952
YAL064C-A_mRNA	381	331	0	0
YJL083W_mRNA	1815	1765	0	0
YKL171W_mRNA	2787	2737	1	29.1082
YOR353C_mRNA	2376	2326	0	0
YJR132W_mRNA	3147	3097	5	128.623
YLR255C_mRNA	354	304	0	0
YMR013W-A_mRNA	81	31.038	0	0
YNL144W-A_mRNA	84	34.0145	0	0
YPL060W_mRNA	1242	1192	2	133.673
YNL333W_mRNA	897	847	0	0
YCL038C_mRNA	1587	1537	0	0
YBL035C_mRNA	2118	2068	0	0
YJL092W_mRNA	3525	3475	0	0
YGL010W_mRNA	525	475	0	0
YML076C_mRNA	2835	2785	0	0
YDR379W_mRNA	3030	2980	0	0
YDL029W_mRNA	1176	1126	1	70.7541
YDR205W_mRNA	2175	2125	0	0
YJL031C_mRNA	984	934	0	0
YLR016C_mRNA	615	565	1	141.007
YOL116W_mRNA	1149	1099	0	0
YGR019W_mRNA	1416	1366	0	0
YKL096C-B_mRNA	150	100	0	0
YMR137C_mRNA	1986	1936	0	0
YLR034C_mRNA	1422	1372	0	0
YOL041C_mRNA	1380	1330	0	0
YDL198C_mRNA	903	853	0	0
YPR076W_mRNA	375	325	0	0
YHR118C_mRNA	1308	1258	0	0
YJL097W_mRNA	654	604	1	131.902
YDL120W_mRNA	525	475	0	0
YLR292C_mRNA	582	532	0	0
YPR170W-B_mRNA	258	208	0	0
YKR091W_mRNA	741	691	0	0
YPR016C_mRNA	738	688	2	231.596
YNL103W_mRNA	2019	1969	0	0
YAL012W_mRNA	1185	1135	3	210.579
YJL148W_mRNA	702	652	0	0
YER039C-A_mRNA	219	169	0	0
YKL162C-A_mRNA	153	103	0	0
YDR421W_mRNA	2853	2803	1	28.4228
YGL051W_mRNA	705	655	0.5	60.8161
YER058W_mRNA	324	274	0	0
YNL243W_mRNA	2907	2857	0	0
YGL220W_mRNA	363	313	0	0
YDL186W_mRNA	834	784	0	0
YER110C_mRNA	3342	3292	3	72.6025
YLL027W_mRNA	753	703	0	0
YER135C_mRNA	393	343	0	0
YOL060C_mRNA	2121	2071	0	0
YCL051W_mRNA	1752	1702	0	0
YBL049W_mRNA	417	367	0	0
YOL102C_mRNA	693	643	0	0
YGR065C_mRNA	1782	1732	0	0
YMR292W_mRNA	417	367	0	0
YBL021C_mRNA	435	385	0	0
YPR026W_mRNA	3636	3586	0	0
YLR421C_mRNA	471	421	1	189.238
YHR054W-A_mRNA	195	145	1	549.442
YPR154W_mRNA	648	598	2	266.452
YAL058W_mRNA	1509	1459	1	54.6053
YDR119W-A_mRNA	201	151	0	0
YJR055W_mRNA	495	445	0	0
YMR273C_mRNA	2748	2698	0	0
YHL008C_mRNA	1884	1834	0	0
YNL212W_mRNA	2349	2299	0	0
YDR429C_mRNA	825	775	8	822.391
YCL027W_mRNA	1539	1489	0	0
YCR030C_mRNA	2613	2563	1	31.0843
YGR048W_mRNA	1086	1036	0	0
YPL249C_mRNA	2685	2635	1	30.235
YLR165C_mRNA	765	715	0	0
YDR220C_mRNA	294	244	0	0
YDR263C_mRNA	1293	1243	0	0
YBR187W_mRNA	843	793	2	200.931
YOR244W_mRNA	1338	1288	1	61.8549
YBR201C-A_mRNA	204	154	0	0
YBR074W_mRNA	2931	2881	2	55.3066
YDL195W_mRNA	3822	3772	2	42.2424
YDR007W_mRNA	675	625	0	0
YOL014W_mRNA	375	325	0	0
YLR059C_mRNA	810	760	1	104.828
YML130C_mRNA	1692	1642	0	0
YBR223C_mRNA	1635	1585	0	0
YCR018C-A_mRNA	255	205	3.25397	1264.59
YER019W_mRNA	1434	1384	1	57.5644
YIR016W_mRNA	798	748	0	0
YIL069C_mRNA	408	358	2.375	528.531
YLR440C_mRNA	2130	2080	1	38.3025
YIL102C_mRNA	306	256	0	0
YER042W_mRNA	555	505	0	0
YBL069W_mRNA	1290	1240	2	128.499
YML116W_mRNA	1629	1579	1	50.4554
YHR058C_mRNA	888	838	0	0
YMR265C_mRNA	1386	1336	0	0
YDL169C_mRNA	672	622	0	0
YPL109C_mRNA	1974	1924	0	0
YPL204W_mRNA	1485	1435	0	0
YLR365W_mRNA	333	283	0	0
YOR047C_mRNA	1335	1285	1	61.9993
YLR222C_mRNA	2454	2404	1	33.1402
YPR183W_mRNA	804	754	1	105.662
YOR396C-A_mRNA	483	433	0	0
YER077C_mRNA	2067	2017	1	39.4988
YDR348C_mRNA	1500	1450	0	0
YKL030W_mRNA	606	556	0	0
YGR295C_mRNA	1146	1096	0	0
YER039C_mRNA	750	700	0	0
YPL230W_mRNA	1176	1126	0	0
YFL007W_mRNA	6432	6382	4	49.9336
YLR371W_mRNA	4071	4021	0	0
YMR061W_mRNA	2034	1984	2	80.3116
YPL159C_mRNA	762	712	0	0
YMR288W_mRNA	2916	2866	0	0
YMR166C_mRNA	1107	1057	0	0
YHR142W_mRNA	951	901	0	0
YJR111C_mRNA	852	802	0	0
YPL152W_mRNA	1077	1027	2	155.149
YJR113C_mRNA	744	694	0	0
YDR230W_mRNA	348	298	0	0
YDR131C_mRNA	1671	1621	0	0
YEL020W-A_mRNA	264	214	0	0
YLR116W_mRNA	1431	1381	0	0
YIR040C_mRNA	333	283	0	0
YLR013W_mRNA	426	376	0	0
YBR125C_mRNA	1182	1132	0	0
YPL216W_mRNA	3309	3259	0	0
YOR290C_mRNA	5112	5062	1	15.7387
YEL012W_mRNA	657	607	0	0
YLR179C_mRNA	606	556	2	286.579
YDR297W_mRNA	1050	1000	1	79.6691
YBR191W_mRNA	483	433	16.5	3035.89
YKL060C_mRNA	1080	1030	106	8198.96
YDL215C_mRNA	3279	3229	0	0
YJL205C_mRNA	162	112	0	0
YGL133W_mRNA	3795	3745	1	21.2735
YOR355W_mRNA	1569	1519	0	0
YIL061C_mRNA	903	853	1	93.3987
YGR078C_mRNA	600	550	2	289.706
YJR020W_mRNA	333	283	0	0
YAR068W_mRNA	486	436	0	0
YLR417W_mRNA	1701	1651	0	0
YDL129W_mRNA	876	826	1	96.4517
YPR064W_mRNA	420	370	0	0
YPL082C_mRNA	5604	5554	1	14.3445
YMR101C_mRNA	1032	982	0	0
YBR299W_mRNA	1755	1705	0	0
YDL088C_mRNA	1587	1537	1	51.8342
YKR034W_mRNA	810	760	0	0
YOR199W_mRNA	330	280	0	0
YOR005C_mRNA	2835	2785	0	0
YCR081W_mRNA	4284	4234	0	0
YHR143W-A_mRNA	213	163	1	488.767
YMR296C_mRNA	1677	1627	0	0
YMR212C_mRNA	2349	2299	3	103.961
YDR039C_mRNA	3276	3226	0.333333	8.23198
YFL027C_mRNA	1494	1444	0	0
YJL075C_mRNA	417	367	0	0
YBR219C_mRNA	384	334	0	0
YBL032W_mRNA	1146	1096	0	0
YFR039C_mRNA	1533	1483	0	0
YER184C_mRNA	2385	2335	0	0
YBR114W_mRNA	2373	2323	0	0
YBR267W_mRNA	1182	1132	1.55281	109.285
YIL009C-A_mRNA	546	496	0	0
YMR153C-A_mRNA	336	286	0	0
YPL035C_mRNA	348	298	1	267.346
YDR075W_mRNA	927	877	0	0
YER060W-A_mRNA	1593	1543	0	0
YNL135C_mRNA	345	295	1	270.065
YPR107C_mRNA	627	577	0	0
YOL001W_mRNA	882	832	1	95.7561
YNL032W_mRNA	846	796	0	0
YHR060W_mRNA	546	496	1	160.623
YOR187W_mRNA	1314	1264	2	126.059
YMR127C_mRNA	1017	967	1	82.3879
YDL223C_mRNA	3141	3091	0	0
YDR156W_mRNA	414	364	0	0
YDR167W_mRNA	621	571	0	0
YLL065W_mRNA	351	301	0	0
YGR281W_mRNA	4434	4384	1	18.1727
YIL060W_mRNA	435	385	0	0
YJL015C_mRNA	285	235	0	0
YPL146C_mRNA	1368	1318	2	120.894
YGL148W_mRNA	1131	1081	0	0
YPR133W-A_mRNA	153	103	1	773.486
YAL044C_mRNA	513	463	2	344.143
YOR151C_mRNA	3675	3625	2	43.9554
YNL046W_mRNA	519	469	0	0
YJL003W_mRNA	357	307	1	259.508
YEL058W_mRNA	1674	1624	1	49.0573
YNL325C_mRNA	2640	2590	0	0
YLR369W_mRNA	1974	1924	0	0
YGL004C_mRNA	1254	1204	0	0
YJL196C_mRNA	933	883	1	90.2255
YPR015C_mRNA	744	694	0	0
YMR013C_mRNA	1560	1510	1	52.761
YHL013C_mRNA	924	874	0	0
YER165W_mRNA	1734	1684	6	283.857
YIL089W_mRNA	618	568	1	140.262
YNL062C_mRNA	1437	1387	1	57.4399
YML059C_mRNA	5040	4990	0	0
YML086C_mRNA	1581	1531	1	52.0373
YPL036W_mRNA	2844	2794	0	0
YOR161C-C_mRNA	147	97	0	0
YBL061C_mRNA	2091	2041	0	0
YIL166C_mRNA	1629	1579	0	0
YHR216W_mRNA	1572	1522	0	0
YER182W_mRNA	735	685	0	0
YGR190C_mRNA	366	316	0	0
YKR005C_mRNA	1578	1528	0	0
YJR162C_mRNA	351	301	0	0
YMR186W_mRNA	2118	2068	20.4575	788.118
YJL152W_mRNA	360	310	0	0
