baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0	NA	NA	NA	NA	NA
22.9919762694602	0.891394431594606	0.43799879311587	2.03515271184501	0.041835509496155	0.276523623093607
0	NA	NA	NA	NA	NA
3.03117696228558	1.19026201147428	1.05257548516643	1.13080917069438	0.25813541920244	NA
3.91181764006486	0.333016464377278	0.891558203163552	0.373521844334584	0.708760090418782	NA
74.006111074542	-0.0555571084664501	0.256865386794602	-0.216288808545759	0.828762632101891	0.964906292516102
224.690893555907	-0.710528418210579	0.227079978948333	-3.12897870389641	0.00175415021185168	0.0321294802357532
0	NA	NA	NA	NA	NA
12.2957896524133	1.90690967359372	0.70860783016387	2.69106491972116	0.00712243333244712	0.0909905821315355
0	NA	NA	NA	NA	NA
416.307277471152	0.886838268299599	0.298255962407294	2.97341337669067	0.00294507521678837	0.0465168893332209
2734.27557954439	0.00277905399955877	0.569087381900267	0.00488335199118121	0.996103664327345	0.999214236802123
125.5368590494	0.499125077599372	0.177283591013733	2.81540482537219	0.00487158242253826	0.0679451667693926
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
47.0148136092171	0.392727803141626	0.483990584310838	0.811436866485405	0.417114834937712	0.785914515001649
0	NA	NA	NA	NA	NA
32.3645293913944	0.301561674436639	0.316877879257675	0.951665276046039	0.341266765048041	0.732095070574222
87.2774649416185	0.145916023599569	0.212003618268166	0.68827138325063	0.491281899017497	0.833329212810432
73.9577480587957	0.105677142790608	0.284289654204105	0.371723491262671	0.710098732852233	0.922027816180968
10.4077609284294	0.443526159710483	0.555598965475758	0.798284711222766	0.424705288197583	0.791247811743108
33.043453099742	0.0733667038390596	0.348013228637629	0.210815847794835	0.833030971699167	0.965261364480301
13.0879413785587	0.178246021529357	0.525740126982515	0.339038266971175	0.734580902691435	0.93529867446956
26.228316813934	-0.126696904249604	0.43039825541914	-0.294371323894474	0.768474176869692	0.944630083224795
0.534447085356525	1.51509337313446	2.54351744704029	0.595668559261298	0.55139666599982	NA
3.59477917754314	-0.420287713592367	0.981909116707277	-0.428031175636453	0.668628423068044	NA
0.294718618029637	0.705972017213826	3.02973068400229	0.233014776178466	0.815749931824018	NA
2.32551651071905	1.03776123023328	1.29392539438579	0.802025553201155	0.422538177003284	NA
3.82752246070673	0.652872575262428	0.864240762349663	0.755429046747835	0.449991590265269	NA
0.719068068009123	2.15826028749003	2.10178664413487	1.02686935113645	0.304481987908912	NA
1.8167148416324	-1.71691286744949	1.42072289204815	-1.20847835778471	0.226863315534834	NA
16.2643876027556	-0.070047008063887	0.426220270831152	-0.164344619103384	0.869459858214411	0.975243327345995
6.56057908883167	0.110629161871192	0.763079863410972	0.144977173656083	0.884728894148295	0.979434990954994
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
1063.59744535199	0.28966909409542	0.521322041081956	0.555643290075053	0.578454731457736	0.872206560981019
36.4293458084958	-0.0610951730814855	0.319283838477593	-0.191350659566106	0.848250873679678	0.969771303411567
0.553020952511724	1.56687804083849	2.28572211041042	0.685506796168299	0.493024173537303	NA
4.91888926717451	-0.042041412635033	0.862144499810062	-0.0487637659862066	0.961107558357914	NA
1.19989123575297	0.288320574262136	1.52940159380783	0.188518552242573	0.850470173655144	NA
0.497121645761187	-2.09767961290611	2.19811171354018	-0.954309828742818	0.33992683431435	NA
0.147891811144483	-0.255820809060084	4.0804728567969	-0.0626939127003282	0.950010244820961	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
132.881532130907	-0.755173326448306	0.182259259878249	-4.14340169576442	3.4219179060514e-05	0.00132421467693635
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
10.6251797726908	-0.395076918431688	0.601066266505492	-0.657293447407398	0.510992248969815	0.843277468183607
0	NA	NA	NA	NA	NA
21.9294699192826	0.323021526490555	0.387674043631837	0.833229698497223	0.404715196232419	0.7781203403569
194.709808662617	0.384365923763763	0.194593971890692	1.9752200956136	0.048243176367427	0.296825748781393
91.7307637746531	0.00777467542131458	0.216616148657845	0.0358914857894323	0.971368884850738	0.993231527452985
384.647458950346	0.127988269933978	0.255734184364455	0.500473842603607	0.616741469883241	0.887459744051109
0.147891811144483	-0.255820809060084	4.0804728567969	-0.0626939127003282	0.950010244820961	NA
3.58854634979567	1.3482261853694	0.976610587322626	1.3805156352703	0.167427938976536	NA
0	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
1033.23606220733	-0.0307009374671674	0.103253497973377	-0.297335567992897	0.766210329501969	0.944342583363376
1607.77745178621	0.0708881396388251	0.13069376650039	0.542398781036076	0.587543819221098	0.874867332890246
759.613356201185	-0.198765225645636	0.114329247586456	-1.73853348851378	0.0821168545820647	0.395370223842863
590.800175809757	0.154300233142555	0.165843002462552	0.930399419037267	0.352164319263382	0.7422814658729
21494.7367102609	0.246646443470703	0.0959648713209346	2.57017427393661	0.01016473657103	0.114891752952479
0	NA	NA	NA	NA	NA
1924.15367612559	-0.754355493097139	0.459844395598581	-1.64045816436491	0.100909940193782	0.434897562327778
1384.67912043348	0.116418232878947	0.146089241597797	0.796898057691759	0.425510239033079	0.792262021910642
