YDL046W	492	482	10
YDL045W-A	174	173	1
YDL045C	215	214	2
YDL044C	197	195	4
YDL043C	258	257	1
YDL042C	297	432	2
YDL041W	1	2	136
YDL040C	2117	2115	2
YDL039C	943	941	4
YDL037C	765	765	0
YDL036C	550	494	56
YDL035C	433	445	8
YDL034W	14	1	33
YDL033C	151	193	9
YDL032W	0	1	50
YDL031W	2054	2054	0
YDL030W	339	332	7
YDL029W	2098	2097	1
YDL028C	400	400	1
YDL027C	263	284	0
YDL026W	0	0	21
YDL025C	321	328	11
YDL025W-A	0	1	17
YDL024C	18	10	8
YDL022C-A	2	0	2
tA(AGC)D	2	2	0
YDL023C	36	2	401
YDL022W	790	1151	6
YDL021W	87	65	22
YDL020C	658	656	2
YDL019C	876	871	5
YDL018C	196	197	1
YDL017W	206	221	1
YDL016C	48	48	16
YDL015C	1297	1290	7
YDL014W	4653	4653	1
YDL013W	377	370	7
YDL012C	592	592	0
YDL011C	1	0	150
YDL010W	191	449	1
YDL009C	80	15	174
YDL008W	315	288	27
tT(AGU)D	4	3	1
YDL007C-A	0	0	0
tS(AGA)D1	2	2	0
YDL007W	2004	2004	1
YDL006W	338	338	0
YDL005C	1193	1192	2
YDL004W	413	412	1
YDL003W	496	494	2
YDL002C	766	766	0
YDL001W	383	383	0
YDR001C	629	628	1
YDR002W	7256	7253	3
YDR003W	199	184	17
YDR003W-A	40	31	9
YDR004W	241	230	11
YDR005C	343	334	9
YDR006C	635	634	1
YDR007W	155	416	55
YDR008C	10	27	307
YDR009W	58	33	25
YDR010C	2	0	2
YDR011W	1246	1244	2
YDR012W	3791	3790	1
YDR013W	159	157	2
YDR014W	281	280	1
YDR014W-A	3	7	1
YDR015C	0	0	5
YDR016C	127	124	5
YDR017C	1050	1046	4
YDR018C	30	13	17
YDR019C	580	579	1
YDR020C	247	239	8
YDR021W	413	405	8
YDR022C	169	165	4
tV(UAC)D	3	3	0
YDR023W	6586	6587	4
YDR024W	12	11	1
YDR025W	6583	6584	1
YDR026C	728	727	1
YDR027C	578	574	5
YDR028C	1686	1686	0
YDR029W	117	0	117
YDR030C	126	98	28
YDR031W	160	158	2
YDR032C	558	557	1
YDR033W	1813	1812	1
YDR034C	482	481	2
tL(UAA)D	4	4	0
YDR034C-A	4	0	4
tQ(UUG)D1	0	0	0
YDR034W-B	9	9	0
YDR035W	1941	1940	3
YDR036C	412	411	1
YDR037W	6027	6026	1
YDR038C	51	49	2
YDR039C	0	0	0
YDR040C	15	12	3
YDR041W	784	784	0
YDR042C	13	12	1
snR47	294	294	0
YDR043C	178	122	56
YDR044W	1016	1016	0
YDR045C	302	302	0
YDR046C	655	655	2
YDR047W	538	536	2
YDR048C	0	0	28
YDR049W	628	653	3
YDR050C	27472	27464	9
YDR051C	488	463	25
YDR052C	724	887	2
YDR053W	11	0	176
YDR054C	865	864	1
YDR055W	884	879	5
YDR056C	1107	1107	0
YDR057W	376	371	5
YDR058C	108	106	3
tR(UCU)D	0	0	0
tD(GUC)D	2	2	0
YDR059C	49	41	8
YDR060W	4073	4072	1
YDR061W	386	352	34
YDR062W	1601	1600	1
YDR063W	646	601	45
YDR064W	20039	20038	1
YDR065W	136	129	7
YDR066C	80	35	45
YDR067C	298	287	11
YDR068W	1336	1330	8
YDR069C	230	221	9
YDR070C	56	37	19
YDR071C	3145	3145	0
YDR072C	634	618	16
YDR073W	385	370	15
YDR074W	1243	1239	4
YDR075W	236	236	0
YDR076W	142	93	49
YDR077W	13148	13124	25
YDR078C	114	108	6
YDR079W	233	218	15
YDR079C-A	103	102	1
YDR080W	576	574	2
YDR081C	649	645	4
YDR082W	253	250	3
YDR083W	1892	1887	5
YDR084C	284	284	0
YDR085C	303	278	25
YDR086C	2514	2509	5
YDR087C	2231	2210	21
YDR088C	371	371	0
tR(ACG)D	2	2	0
YDR089W	431	427	4
YDR090C	183	176	9
YDR091C	1294	1294	0
YDR092W	927	887	40
YDR093W	1682	1681	2
YDR094W	0	0	0
YDR095C	14	13	3
YDR096W	386	386	0
YDR097C	604	603	1
YDR098C	1431	1423	8
tQ(UUG)D2	2	2	0
YDR099W	2311	2311	0
YDR100W	291	289	2
YDR101C	1556	1554	2
YDR102C	9	1	8
YDR103W	562	560	2
YDR104C	279	278	2
YDR105C	426	424	4
YDR106W	69	67	2
tI(AAU)D	1	1	0
YDR107C	224	170	54
YDR108W	211	210	1
YDR109C	237	234	4
YDR110W	1206	1193	13
YDR111C	226	332	5
YDR112W	24	0	135
YDR113C	289	279	10
YDR114C	7	0	49
YDR115W	67	109	0
YDR116C	157	156	1
YDR117C	500	496	4
YDR118W	189	174	15
YDR118W-A	7	7	0
YDR119W	970	963	7
YDR119W-A	10	9	1
YDR120C	1523	1524	0
YDR121W	739	738	1
YDR122W	651	651	0
YDR123C	211	210	1
YDR124W	62	33	30
YDR125C	72	60	12
YDR126W	140	107	33
YDR127W	1471	1464	7
YDR128W	795	794	1
YDR129C	1895	1893	2
YDR130C	302	295	7
YDR131C	149	145	4
YDR132C	214	196	18
YDR133C	1711	1705	6
YDR135C	1802	1778	24
YDR136C	12	7	16
YDR137W	470	480	1
YDR138W	513	510	3
YDR139C	714	701	13
YDR140W	337	313	24
YDR141C	1153	1129	24
YDR142C	101	97	4
YDR143C	579	574	5
YDR144C	870	855	17
YDR145W	1223	1222	1
YDR146C	724	724	0
YDR147W	461	461	0
YDR148C	667	664	3
YDR149C	9	0	608
YDR150W	2141	2738	2
YDR151C	485	466	19
YDR152W	1481	1481	0
YDR153C	568	567	1
YDR154C	143	142	1
YDR155C	2838	2837	1
YDR156W	379	370	9
YDR157W	98	70	28
YDR158W	3657	3649	8
YDR159W	833	832	2
YDR160W	240	237	3
YDR161W	1459	1459	0
YDR162C	337	337	2
YDR163W	242	234	8
YDR164C	683	683	0
YDR165W	1174	1157	17
YDR166C	654	643	11
YDR167W	534	509	25
YDR168W	1463	1463	0
YDR169C	424	424	0
YDR169C-A	13	2	11
YDR170C	3406	3404	2
tQ(UUG)D3	1	1	0
YDR171W	1315	1308	7
YDR172W	2393	2392	1
YDR173C	243	240	3
YDR174W	2670	2670	2
YDR175C	246	245	1
YDR176W	934	932	2
YDR177W	1101	1099	2
YDR178W	209	209	0
YDR179C	104	102	2
YDR179W-A	167	147	20
YDR180W	428	418	10
YDR181C	266	266	0
YDR182W	458	456	2
YDR182W-A	11	7	4
YDR183W	328	327	1
YDR183C-A	22	21	1
YDR184C	607	607	0
YDR185C	133	82	51
YDR186C	684	674	11
YDR187C	69	1	393
YDR188W	2391	2712	4
YDR189W	1003	1001	2
YDR190C	2076	2077	0
YDR191W	133	133	0
YDR192C	119	153	0
YDR193W	3	0	37
YDR194C	1248	1247	1
YDR194W-A	0	0	0
YDR195W	455	445	10
YDR196C	463	462	1
YDR197W	228	228	0
YDR198C	284	282	2
YDR199W	18	8	114
YDR200C	267	363	8
YDR201W	266	266	0
YDR202C	171	199	15
YDR203W	1	1	43
YDR204W	283	277	6
YDR205W	257	248	10
YDR206W	858	855	3
YDR207C	587	585	2
YDR208W	557	550	7
YDR209C	457	0	852
YDR210W	0	395	0
tI(UAU)D	0	0	0
YDR211W	1505	1498	7
YDR212W	1761	1759	2
YDR213W	805	729	76
YDR214W	578	558	20
YDR215C	10	0	10
YDR216W	282	278	5
YDR217C	779	777	2
YDR218C	12	0	12
YDR219C	296	296	0
YDR220C	15	16	0
YDR221W	476	447	31
YDR222W	100	45	55
YDR223W	57	12	45
YDR224C	3192	3192	0
YDR225W	1977	1968	10
YDR226W	3956	3953	3
YDR227W	734	734	0
YDR228C	547	544	3
YDR229W	351	346	5
YDR230W	3	0	58
YDR231C	43	96	2
YDR232W	887	886	1
YDR233C	4322	4315	7
YDR234W	1046	1043	3
YDR235W	681	676	5
YDR236C	440	433	7
YDR237W	235	230	5
YDR238C	1860	1859	1
YDR239C	430	429	1
YDR240C	226	225	5
YDR241W	82	82	4
tY(GUA)D	14	14	0
YDR242W	157	94	63
YDR243C	260	250	11
YDR244W	387	386	1
YDR245W	1608	1602	6
YDR246W	413	383	30
YDR246W-A	24	20	4
YDR247W	141	137	4
YDR248C	152	149	3
YDR249C	128	128	0
YDR250C	24	1	23
YDR251W	658	650	8
YDR252W	75	75	1
YDR253C	77	34	43
YDR254W	153	129	24
YDR255C	164	133	31
YDR256C	141	35	106
YDR257C	541	537	4
YDR258C	1278	1276	2
YDR259C	98	85	13
YDR260C	268	243	26
YDR261C	672	647	25
tS(AGA)D2	7	7	0
tG(GCC)D2	4	4	0
YDR262W	335	334	1
YDR263C	73	70	3
YDR264C	1464	1466	0
YDR265W	182	166	16
YDR266C	1184	1183	1
YDR267C	677	675	2
YDR268W	338	274	64
YDR269C	0	0	33
YDR270W	99	132	16
YDR271C	0	3	8
YDR272W	732	727	5
YDR273W	76	64	12
YDR274C	105	2	103
YDR275W	121	117	4
YDR276C	725	725	0
YDR277C	100	78	22
YDR278C	0	0	0
tE(CUC)D	0	0	0
YDR279W	277	272	5
YDR280W	1065	1064	1
YDR281C	161	140	21
YDR282C	244	243	1
YDR283C	932	932	0
YDR284C	327	309	18
YDR285W	238	220	18
YDR286C	36	35	1
YDR287W	179	173	6
YDR288W	327	324	3
YDR289C	386	405	0
YDR290W	3	0	22
YDR291W	401	396	5
YDR292C	1285	1279	6
